iteration,motor_pos,voltage,direction
0,2057,2.0583208716086308,forward
1,2058,1.7955565050202948,forward
2,2059,2.693334757530442,forward
3,2060,3.1312753685110017,forward
4,2061,1.5765861995300148,forward
5,2062,3.3064516129032255,forward
6,2063,2.342982268745994,forward
7,2064,2.0583208716086308,forward
8,2065,3.831980346079897,forward
9,2066,2.8904080324716936,forward
10,2067,4.072847682119205,forward
11,2068,2.8466139713736376,forward
12,2069,2.2116000854518263,forward
13,2070,3.3940397350993377,forward
14,2071,1.7517624439222386,forward
15,2072,2.868511001922666,forward
16,2073,2.9779961546678058,forward
17,2074,3.525421918393506,forward
18,2075,4.138538773766289,forward
19,2076,2.2991882076479384,forward
20,2077,2.8028199102755815,forward
21,2078,3.7662892544328135,forward
22,2079,2.868511001922666,forward
23,2080,2.1897030549027985,forward
24,2081,4.204229865413374,forward
25,2082,2.0364238410596025,forward
26,2083,3.8976714377269808,forward
27,2084,3.7881862849818413,forward
28,2085,4.379406109805597,forward
29,2086,3.7881862849818413,forward
30,2087,2.8466139713736376,forward
31,2088,3.3940397350993377,forward
32,2089,4.401303140354624,forward
33,2090,4.3356120487075405,forward
34,2091,3.6130100405896175,forward
35,2092,2.9560991241187775,forward
36,2093,2.649540696432386,forward
37,2094,2.912305063020722,forward
38,2095,2.49626148258919,forward
39,2096,3.087481307412946,forward
40,2097,2.0802179021576586,forward
41,2098,1.379512924588763,forward
42,2099,2.999893185216834,forward
43,2100,2.82471694082461,forward
44,2101,2.474364452040162,forward
45,2102,2.759025849177526,forward
46,2103,3.4378337961973933,forward
47,2104,2.408673360393078,forward
48,2105,2.474364452040162,forward
49,2106,2.999893185216834,forward
50,2107,2.82471694082461,forward
51,2108,3.4597308267464215,forward
52,2109,1.8612475966673787,forward
53,2110,4.029053621021149,forward
54,2111,2.627643665883358,forward
55,2112,3.196966460158085,forward
56,2113,4.707861568041016,forward
57,2114,4.204229865413373,forward
58,2115,2.8028199102755815,forward
59,2116,3.0217902157658614,forward
60,2117,2.9779961546678058,forward
61,2118,4.445097201452681,forward
62,2119,2.9560991241187775,forward
63,2120,3.2845545823541973,forward
64,2121,3.0436872463148896,forward
65,2122,3.7881862849818413,forward
66,2123,3.7881862849818413,forward
67,2124,2.780922879726554,forward
68,2125,5.058214056825464,forward
69,2126,4.050950651570177,forward
70,2127,4.751655629139073,forward
71,2128,5.0363170262764365,forward
72,2129,6.065477462080751,forward
73,2130,3.0874813074129452,forward
74,2131,4.861140781884212,forward
75,2132,5.123905148472548,forward
76,2133,3.547318948942533,forward
77,2134,5.1895962401196325,forward
78,2135,3.919568468276009,forward
79,2136,4.598376415295877,forward
80,2137,4.138538773766289,forward
81,2138,4.029053621021149,forward
82,2139,5.364772484511856,forward
83,2140,4.3356120487075405,forward
84,2141,3.2626575518051695,forward
85,2142,3.1969664601580856,forward
86,2143,4.291817987609485,forward
87,2144,3.766289254432813,forward
88,2145,4.204229865413373,forward
89,2146,5.9559923093356115,forward
90,2147,6.065477462080751,forward
91,2148,5.627536851100191,forward
92,2149,4.007156590472121,forward
93,2150,6.306344798120059,forward
94,2151,7.138431958983123,forward
95,2152,4.948728904080324,forward
96,2153,6.919461653492843,forward
97,2154,6.306344798120059,forward
98,2155,6.722388378551591,forward
99,2156,6.831873531296731,forward
100,2157,6.656697286904506,forward
101,2158,4.685964537491988,forward
102,2159,8.955885494552447,forward
103,2160,5.386669515060884,forward
104,2161,5.167699209570604,forward
105,2162,4.598376415295878,forward
106,2163,6.218756675923947,forward
107,2164,6.525315103610339,forward
108,2165,6.043580431531724,forward
109,2166,6.240653706472975,forward
110,2167,4.116641743217261,forward
111,2168,6.3282418286690865,forward
112,2169,7.554475539414654,forward
113,2170,5.8027130954924155,forward
114,2171,7.861033967101046,forward
115,2172,6.74428540910062,forward
116,2173,6.503418073061312,forward
117,2174,4.138538773766289,forward
118,2175,11.627323221533858,forward
119,2176,5.999786370433667,forward
120,2177,4.7297585985900445,forward
121,2178,6.94135868404187,forward
122,2179,5.758919034394359,forward
123,2180,6.065477462080751,forward
124,2181,8.364665669728689,forward
125,2182,5.299081392864771,forward
126,2183,7.554475539414654,forward
127,2184,5.299081392864771,forward
128,2185,6.634800256355479,forward
129,2186,5.64943388164922,forward
130,2187,6.4158299508651995,forward
131,2188,6.985152745139927,forward
132,2189,9.56900234992523,forward
133,2190,6.131168553727836,forward
134,2191,7.751548814355907,forward
135,2192,7.313608203375346,forward
136,2193,6.1092715231788075,forward
137,2194,5.430463576158941,forward
138,2195,6.678594317453535,forward
139,2196,8.101901303140354,forward
140,2197,11.145588549455244,forward
141,2198,8.25518051698355,forward
142,2199,8.736915189062165,forward
143,2200,8.167592394787437,forward
144,2201,5.364772484511856,forward
145,2202,5.080111087374492,forward
146,2203,6.459624011963255,forward
147,2204,6.021683400982695,forward
148,2205,7.5763725699636835,forward
149,2206,5.167699209570604,forward
150,2207,7.138431958983123,forward
151,2208,9.10916470839564,forward
